model_id,source_path,baked_path,source_url,creator,license,download_date,attribution_required
tree_palm,source/polyhaven/quiver_tree_01/quiver_tree_01.gltf,baked/nature/tree_palm.m3d,https://polyhaven.com/a/quiver_tree_01,James Ray Cock; Dario Barresi; Rico Cilliers,CC0-1.0,2026-09-25,no
tree_palmBend,source/polyhaven/quiver_tree_02/quiver_tree_02.gltf,baked/nature/tree_palmBend.m3d,https://polyhaven.com/a/quiver_tree_02,Dario Barresi; Rico Cilliers,CC0-1.0,2026-09-25,no
tree_plateau,source/3dassets/exotic-wildlife-hd-umbrella-acacia-850a62bb.glb,baked/nature/tree_plateau.m3d,https://3dassets.dev/assets/exotic-wildlife-hd-umbrella-acacia-850a62bb,3D Assets,CC0-1.0,2026-09-25,no
tree_small,source/3dassets/exotic-wildlife-hd-baobab-tree-fb196805.glb,baked/nature/tree_small.m3d,https://3dassets.dev/assets/exotic-wildlife-hd-baobab-tree-fb196805,3D Assets,CC0-1.0,2026-09-25,no
tree_urbanCherry,source/3dassets/japanese-school-and-city-street-cherry-tree-blossom-618a9f6d.glb,baked/nature/tree_urbanCherry.m3d,https://3dassets.dev/assets/japanese-school-and-city-street-cherry-tree-blossom-618a9f6d,3D Assets,CC0-1.0,2026-09-25,no
bush_00,source/polyhaven/shrub_01/shrub_01.gltf,baked/nature/bush_00.m3d,https://polyhaven.com/a/shrub_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_01,source/polyhaven/shrub_02/shrub_02.gltf,baked/nature/bush_01.m3d,https://polyhaven.com/a/shrub_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_02,source/polyhaven/shrub_03/shrub_03.gltf,baked/nature/bush_02.m3d,https://polyhaven.com/a/shrub_03,Poly Haven,CC0-1.0,2026-09-25,no
bush_03,source/polyhaven/shrub_04/shrub_04.gltf,baked/nature/bush_03.m3d,https://polyhaven.com/a/shrub_04,Poly Haven,CC0-1.0,2026-09-25,no
bush_04,source/polyhaven/shrub_sorrel_01/shrub_sorrel_01.gltf,baked/nature/bush_04.m3d,https://polyhaven.com/a/shrub_sorrel_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_05,source/polyhaven/wild_rooibos_bush/wild_rooibos_bush.gltf,baked/nature/bush_05.m3d,https://polyhaven.com/a/wild_rooibos_bush,Poly Haven,CC0-1.0,2026-09-25,no
bush_06,source/polyhaven/fern_02/fern_02.gltf,baked/nature/bush_06.m3d,https://polyhaven.com/a/fern_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_07,source/polyhaven/nettle_plant/nettle_plant.gltf,baked/nature/bush_07.m3d,https://polyhaven.com/a/nettle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_08,source/polyhaven/periwinkle_plant/periwinkle_plant.gltf,baked/nature/bush_08.m3d,https://polyhaven.com/a/periwinkle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_09,source/polyhaven/weed_plant_02/weed_plant_02.gltf,baked/nature/bush_09.m3d,https://polyhaven.com/a/weed_plant_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_10,source/polyhaven/crystalline_iceplant/crystalline_iceplant.gltf,baked/nature/bush_10.m3d,https://polyhaven.com/a/crystalline_iceplant,Poly Haven,CC0-1.0,2026-09-25,no
bush_11,source/polyhaven/shrub_01/shrub_01.gltf,baked/nature/bush_11.m3d,https://polyhaven.com/a/shrub_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_12,source/polyhaven/shrub_02/shrub_02.gltf,baked/nature/bush_12.m3d,https://polyhaven.com/a/shrub_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_13,source/polyhaven/shrub_03/shrub_03.gltf,baked/nature/bush_13.m3d,https://polyhaven.com/a/shrub_03,Poly Haven,CC0-1.0,2026-09-25,no
bush_14,source/polyhaven/shrub_04/shrub_04.gltf,baked/nature/bush_14.m3d,https://polyhaven.com/a/shrub_04,Poly Haven,CC0-1.0,2026-09-25,no
bush_15,source/polyhaven/shrub_sorrel_01/shrub_sorrel_01.gltf,baked/nature/bush_15.m3d,https://polyhaven.com/a/shrub_sorrel_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_16,source/polyhaven/wild_rooibos_bush/wild_rooibos_bush.gltf,baked/nature/bush_16.m3d,https://polyhaven.com/a/wild_rooibos_bush,Poly Haven,CC0-1.0,2026-09-25,no
bush_17,source/polyhaven/fern_02/fern_02.gltf,baked/nature/bush_17.m3d,https://polyhaven.com/a/fern_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_18,source/polyhaven/nettle_plant/nettle_plant.gltf,baked/nature/bush_18.m3d,https://polyhaven.com/a/nettle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_19,source/polyhaven/periwinkle_plant/periwinkle_plant.gltf,baked/nature/bush_19.m3d,https://polyhaven.com/a/periwinkle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_20,source/polyhaven/weed_plant_02/weed_plant_02.gltf,baked/nature/bush_20.m3d,https://polyhaven.com/a/weed_plant_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_21,source/polyhaven/crystalline_iceplant/crystalline_iceplant.gltf,baked/nature/bush_21.m3d,https://polyhaven.com/a/crystalline_iceplant,Poly Haven,CC0-1.0,2026-09-25,no
bush_22,source/polyhaven/shrub_01/shrub_01.gltf,baked/nature/bush_22.m3d,https://polyhaven.com/a/shrub_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_23,source/polyhaven/shrub_02/shrub_02.gltf,baked/nature/bush_23.m3d,https://polyhaven.com/a/shrub_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_24,source/polyhaven/shrub_03/shrub_03.gltf,baked/nature/bush_24.m3d,https://polyhaven.com/a/shrub_03,Poly Haven,CC0-1.0,2026-09-25,no
bush_25,source/polyhaven/shrub_04/shrub_04.gltf,baked/nature/bush_25.m3d,https://polyhaven.com/a/shrub_04,Poly Haven,CC0-1.0,2026-09-25,no
bush_26,source/polyhaven/shrub_sorrel_01/shrub_sorrel_01.gltf,baked/nature/bush_26.m3d,https://polyhaven.com/a/shrub_sorrel_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_27,source/polyhaven/wild_rooibos_bush/wild_rooibos_bush.gltf,baked/nature/bush_27.m3d,https://polyhaven.com/a/wild_rooibos_bush,Poly Haven,CC0-1.0,2026-09-25,no
bush_28,source/polyhaven/fern_02/fern_02.gltf,baked/nature/bush_28.m3d,https://polyhaven.com/a/fern_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_29,source/polyhaven/nettle_plant/nettle_plant.gltf,baked/nature/bush_29.m3d,https://polyhaven.com/a/nettle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_30,source/polyhaven/periwinkle_plant/periwinkle_plant.gltf,baked/nature/bush_30.m3d,https://polyhaven.com/a/periwinkle_plant,Poly Haven,CC0-1.0,2026-09-25,no
bush_31,source/polyhaven/weed_plant_02/weed_plant_02.gltf,baked/nature/bush_31.m3d,https://polyhaven.com/a/weed_plant_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_32,source/polyhaven/crystalline_iceplant/crystalline_iceplant.gltf,baked/nature/bush_32.m3d,https://polyhaven.com/a/crystalline_iceplant,Poly Haven,CC0-1.0,2026-09-25,no
bush_33,source/polyhaven/shrub_01/shrub_01.gltf,baked/nature/bush_33.m3d,https://polyhaven.com/a/shrub_01,Poly Haven,CC0-1.0,2026-09-25,no
bush_34,source/polyhaven/shrub_02/shrub_02.gltf,baked/nature/bush_34.m3d,https://polyhaven.com/a/shrub_02,Poly Haven,CC0-1.0,2026-09-25,no
bush_35,source/polyhaven/shrub_03/shrub_03.gltf,baked/nature/bush_35.m3d,https://polyhaven.com/a/shrub_03,Poly Haven,CC0-1.0,2026-09-25,no
